Documento;Hora_completa;;Hora;Habitat;Indice;Valor;;;;;
ALLUE03__0__20210424_165940.wav;165940.wav;16;16;Bosque;ACI;3021,05;;;;;
ALLUE03__0__20210424_190940.wav;190940.wav;19;19;Bosque;ACI;3060,72;;;;;
ALLUE03__0__20210424_211940.wav;211940.wav;21;21;Bosque;ACI;3027,33;;;;;
ALLUE03__0__20210424_232940.wav;232940.wav;23;23;Bosque;ACI;3029,82;;;;;
ALLUE03__0__20210425_013940.wav;013940.wav;01;1;Bosque;ACI;3002,67;;;;;
ALLUE03__0__20210425_034940.wav;034940.wav;03;3;Bosque;ACI;2987,00;;;;;
ALLUE03__0__20210425_055940.wav;055940.wav;05;5;Bosque;ACI;3010,69;;;;;
ALLUE03__0__20210425_080940.wav;080940.wav;08;8;Bosque;ACI;3005,00;;;;;
ALLUE03__0__20210425_101940.wav;101940.wav;10;10;Bosque;ACI;3007,99;;;;;
ALLUE03__0__20210425_122940.wav;122940.wav;12;12;Bosque;ACI;3003,75;;;;;
ALLUE03__0__20210425_143940.wav;143940.wav;14;14;Bosque;ACI;3001,12;;;;;
ALLUE03__0__20210425_164940.wav;164940.wav;16;16;Bosque;ACI;3174,05;;;;;
ALLUE03__0__20210425_185940.wav;185940.wav;18;18;Bosque;ACI;3011,87;;;;;
ALLUE03__0__20210425_210940.wav;210940.wav;21;21;Bosque;ACI;3004,27;;;;;
ALLUE03__0__20210425_231940.wav;231940.wav;23;23;Bosque;ACI;2976,43;;;;;
ALLUE03__0__20210426_012940.wav;012940.wav;01;1;Bosque;ACI;3001,29;;;;;
ALLUE03__0__20210426_033940.wav;033940.wav;03;3;Bosque;ACI;2983,90;;;;;
ALLUE03__0__20210426_054940.wav;054940.wav;05;5;Bosque;ACI;3022,03;;;;;
ALLUE03__0__20210426_075940.wav;075940.wav;07;7;Bosque;ACI;3014,39;;;;;
ALLUE03__0__20210426_100940.wav;100940.wav;10;10;Bosque;ACI;3014,99;;;;;
ALLUE03__0__20210426_121940.wav;121940.wav;12;12;Bosque;ACI;3016,68;;;;;
ALLUE03__0__20210426_142940.wav;142940.wav;14;14;Bosque;ACI;3003,11;;;;;
ALLUE03__0__20210426_163940.wav;163940.wav;16;16;Bosque;ACI;3067,29;;;;;
ALLUE03__0__20210426_184940.wav;184940.wav;18;18;Bosque;ACI;3041,25;;;;;
