Documento;Hora_completa;;Hora;Habitat;Indice;Valor;;;;;
TIENDA2__0__20200114_155937.wav;155937.wav;15;;Urbano;Bioacustic;16.5828824470478;;;;;
TIENDA2__0__20200114_180937.wav;180937.wav;18;;Urbano;Bioacustic;17.7180961309128;;;;;
TIENDA2__0__20200114_201937.wav;201937.wav;20;;Urbano;Bioacustic;16.5423038386372;;;;;
TIENDA2__0__20200114_222937.wav;222937.wav;22;;Urbano;Bioacustic;15.4955031473457;;;;;
TIENDA2__0__20200115_003937.wav;003937.wav;00;;Urbano;Bioacustic;14.0234466079956;;;;;
TIENDA2__0__20200115_024937.wav;024937.wav;02;;Urbano;Bioacustic;15.6565326307439;;;;;
TIENDA2__0__20200115_045937.wav;045937.wav;04;;Urbano;Bioacustic;13.2795726251577;;;;;
TIENDA2__0__20200115_070937.wav;070937.wav;07;;Urbano;Bioacustic;12.6869432375508;;;;;
TIENDA2__0__20200115_091937.wav;091937.wav;09;;Urbano;Bioacustic;15.1014453428534;;;;;
TIENDA2__0__20200115_112937.wav;112937.wav;11;;Urbano;Bioacustic;17.0673532116975;;;;;
TIENDA2__0__20200115_133937.wav;133937.wav;13;;Urbano;Bioacustic;14.6996355234534;;;;;
TIENDA2__0__20200115_154937.wav;154937.wav;15;;Urbano;Bioacustic;13.2787268322718;;;;;
TIENDA2__0__20200115_175937.wav;175937.wav;17;;Urbano;Bioacustic;13.2937478772012;;;;;
TIENDA2__0__20200115_200937.wav;200937.wav;20;;Urbano;Bioacustic;15.026265133218;;;;;
TIENDA2__0__20200115_221937.wav;221937.wav;22;;Urbano;Bioacustic;14.8800945387009;;;;;
TORRES01__0__20191204_161747.wav;161747.wav;16;;Bosque;Bioacustic;7.90117135916285;;;;;
TORRES01__0__20191204_182747.wav;182747.wav;18;;Bosque;Bioacustic;6.36202367475284;;;;;
TORRES01__0__20191204_203747.wav;203747.wav;20;;Bosque;Bioacustic;8.08911037440039;;;;;
TORRES01__0__20191204_224747.wav;224747.wav;22;;Bosque;Bioacustic;8.05385727106354;;;;;
TORRES01__0__20191205_005747.wav;005747.wav;00;;Bosque;Bioacustic;7.63447614711725;;;;;
TORRES01__0__20191205_030747.wav;030747.wav;03;;Bosque;Bioacustic;15.3583697924745;;;;;
TORRES01__0__20191205_051747.wav;051747.wav;05;;Bosque;Bioacustic;14.0855318407245;;;;;
TORRES01__0__20191205_072747.wav;072747.wav;07;;Bosque;Bioacustic;14.5977361586621;;;;;
TORRES01__0__20191205_093747.wav;093747.wav;09;;Bosque;Bioacustic;15.2850861002271;;;;;
TORRES01__0__20191205_114747.wav;114747.wav;11;;Bosque;Bioacustic;15.6210498672899;;;;;
TORRES01__0__20191205_135747.wav;135747.wav;13;;Bosque;Bioacustic;11.8929058063118;;;;;
TORRES01__0__20191205_160747.wav;160747.wav;16;;Bosque;Bioacustic;12.9616875480403;;;;;
TORRES01__0__20191205_181747.wav;181747.wav;18;;Bosque;Bioacustic;14.9015575371868;;;;;
TORRES01__0__20191205_202747.wav;202747.wav;20;;Bosque;Bioacustic;11.9641565298098;;;;;
TORRES01__0__20191205_223747.wav;223747.wav;22;;Bosque;Bioacustic;8.74921257246401;;;;;
TORRES01__0__20191206_004747.wav;004747.wav;00;;Bosque;Bioacustic;8.00281166066713;;;;;
TORRES01__0__20191206_025747.wav;025747.wav;02;;Bosque;Bioacustic;10.6806065735971;;;;;
TORRES01__0__20191206_050747.wav;050747.wav;05;;Bosque;Bioacustic;10.5401797027632;;;;;
TORRES01__0__20191206_071747.wav;071747.wav;07;;Bosque;Bioacustic;10.6224251072224;;;;;
TORRES01__0__20191206_092747.wav;092747.wav;09;;Bosque;Bioacustic;11.0820414878156;;;;;
TORRES01__0__20191206_113747.wav;113747.wav;11;;Bosque;Bioacustic;11.9907041948473;;;;;
TORRES01__0__20191206_134747.wav;134747.wav;13;;Bosque;Bioacustic;11.3039259719719;;;;;
TORRES01__0__20191206_155747.wav;155747.wav;15;;Bosque;Bioacustic;12.7150509428226;;;;;
TORRES01__0__20191206_180747.wav;180747.wav;18;;Bosque;Bioacustic;11.1291028562246;;;;;
TORRES01__0__20191206_201747.wav;201747.wav;20;;Bosque;Bioacustic;10.4279388965167;;;;;
TORRES01__0__20191206_222747.wav;222747.wav;22;;Bosque;Bioacustic;11.5264465798226;;;;;
TORRES01__0__20191207_003747.wav;003747.wav;00;;Bosque;Bioacustic;10.6137322919222;;;;;
TORRES01__0__20191207_024747.wav;024747.wav;02;;Bosque;Bioacustic;12.6453149857238;;;;;
TORRES01__0__20191207_045747.wav;045747.wav;04;;Bosque;Bioacustic;11.0193488020824;;;;;
TORRES01__0__20191207_070747.wav;070747.wav;07;;Bosque;Bioacustic;11.2162785097072;;;;;
TORRES01__0__20191207_091747.wav;091747.wav;09;;Bosque;Bioacustic;10.2244302141799;;;;;
TORRES01__0__20191207_112747.wav;112747.wav;11;;Bosque;Bioacustic;7.19309756541248;;;;;
TORRES01__0__20191207_133747.wav;133747.wav;13;;Bosque;Bioacustic;9.28709894756111;;;;;
TORRES01__0__20191207_154747.wav;154747.wav;15;;Bosque;Bioacustic;4.53268463862273;;;;;
TORRES01__0__20191207_175747.wav;175747.wav;17;;Bosque;Bioacustic;4.43435143831684;;;;;
TORRES01__0__20191207_200747.wav;200747.wav;20;;Bosque;Bioacustic;4.78892779055797;;;;;
TORRES01__0__20191207_221747.wav;221747.wav;22;;Bosque;Bioacustic;6.45919981335908;;;;;
TORRES01__0__20191208_002747.wav;002747.wav;00;;Bosque;Bioacustic;4.93546817839578;;;;;
TORRES01__0__20191208_023747.wav;023747.wav;02;;Bosque;Bioacustic;6.37449448969908;;;;;
TORRES01__0__20191208_044747.wav;044747.wav;04;;Bosque;Bioacustic;6.29862452443202;;;;;
TORRES01__0__20191208_065747.wav;065747.wav;06;;Bosque;Bioacustic;0.432955945998715;;;;;
TORRES01__0__20191208_090747.wav;090747.wav;09;;Bosque;Bioacustic;1.71520744101361;;;;;
TORRES01__0__20191208_111747.wav;111747.wav;11;;Bosque;Bioacustic;5.56333733771926;;;;;
TORRES01__0__20191208_132747.wav;132747.wav;13;;Bosque;Bioacustic;3.70830858401423;;;;;
TORRES01__0__20191208_153747.wav;153747.wav;15;;Bosque;Bioacustic;8.12885902374862;;;;;
TORRES01__0__20191208_174747.wav;174747.wav;17;;Bosque;Bioacustic;6.45619897990624;;;;;
TORRES01__0__20191208_195747.wav;195747.wav;19;;Bosque;Bioacustic;6.72260926608303;;;;;
TORRES01__0__20191208_220747.wav;220747.wav;22;;Bosque;Bioacustic;5.46864025626687;;;;;
TORRES01__0__20191209_001747.wav;001747.wav;00;;Bosque;Bioacustic;7.20831638313672;;;;;
TORRES01__0__20191209_022747.wav;022747.wav;02;;Bosque;Bioacustic;8.00689778023588;;;;;
TORRES01__0__20191209_043747.wav;043747.wav;04;;Bosque;Bioacustic;5.38298692560093;;;;;
TORRES01__0__20191209_064747.wav;064747.wav;06;;Bosque;Bioacustic;5.20273131040871;;;;;
TORRES01__0__20191209_085747.wav;085747.wav;08;;Bosque;Bioacustic;6.45587955957135;;;;;
TORRES01__0__20191209_110747.wav;110747.wav;11;;Bosque;Bioacustic;4.81501307586287;;;;;
TORRES01__0__20191209_131747.wav;131747.wav;13;;Bosque;Bioacustic;9.38833565880093;;;;;
TORRES01__0__20191209_152747.wav;152747.wav;15;;Bosque;Bioacustic;9.78359403471416;;;;;
TORRES01__0__20191209_173747.wav;173747.wav;17;;Bosque;Bioacustic;2.25851190513126;;;;;
TORRES01__0__20191209_194747.wav;194747.wav;19;;Bosque;Bioacustic;8.38897859322661;;;;;
TORRES01__0__20191209_215747.wav;215747.wav;21;;Bosque;Bioacustic;10.6229611057161;;;;;
TORRES01__0__20191210_000747.wav;000747.wav;00;;Bosque;Bioacustic;7.10067468266591;;;;;
TORRES01__0__20191210_021747.wav;021747.wav;02;;Bosque;Bioacustic;5.44168940760553;;;;;
TORRES01__0__20191210_042747.wav;042747.wav;04;;Bosque;Bioacustic;7.32220224027668;;;;;
TORRES01__0__20191210_063747.wav;063747.wav;06;;Bosque;Bioacustic;4.87543558913772;;;;;
TORRES01__0__20191210_084747.wav;084747.wav;08;;Bosque;Bioacustic;0.652230106036175;;;;;
TORRES01__0__20191210_105747.wav;105747.wav;10;;Bosque;Bioacustic;4.68439012487175;;;;;
TORRES01__0__20191210_130747.wav;130747.wav;13;;Bosque;Bioacustic;6.7972970954099;;;;;
TORRES01__0__20191210_151747.wav;151747.wav;15;;Bosque;Bioacustic;1.63992868662099;;;;;
TORRES01__0__20191210_172747.wav;172747.wav;17;;Bosque;Bioacustic;8.22591555021005;;;;;
TORRES01__0__20191210_193747.wav;193747.wav;19;;Bosque;Bioacustic;7.20065414599113;;;;;
TORRES01__0__20191210_214747.wav;214747.wav;21;;Bosque;Bioacustic;7.25282607206837;;;;;
TORRES01__0__20191210_235747.wav;235747.wav;23;;Bosque;Bioacustic;7.80455589075314;;;;;
TORRES01__0__20191211_020747.wav;020747.wav;02;;Bosque;Bioacustic;8.54349719049762;;;;;
TORRES01__0__20191211_041747.wav;041747.wav;04;;Bosque;Bioacustic;7.59468351613358;;;;;
TORRES01__0__20191211_062747.wav;062747.wav;06;;Bosque;Bioacustic;6.33897526415526;;;;;
TORRES01__0__20191211_083747.wav;083747.wav;08;;Bosque;Bioacustic;8.56511528946205;;;;;
TORRES01__0__20191211_104747.wav;104747.wav;10;;Bosque;Bioacustic;7.91621233922814;;;;;
TORRES01__0__20191211_125747.wav;125747.wav;12;;Bosque;Bioacustic;9.35142520258143;;;;;
TORRE03__0__20210217_101341.wav;101341.wav;10;;Bosque;Bioacustic;35.6303635323048;;;;;
TORRE03__0__20210217_122335.wav;122335.wav;12;;Bosque;Bioacustic;41.2485219946408;;;;;
TORRE03__0__20210217_143335.wav;143335.wav;14;;Bosque;Bioacustic;21.6739520770374;;;;;
TORRE03__0__20210217_164335.wav;164335.wav;16;;Bosque;Bioacustic;19.2402915690968;;;;;
TORRE03__0__20210217_185335.wav;185335.wav;18;;Bosque;Bioacustic;46.0018598246956;;;;;
TORRE03__0__20210217_210335.wav;210335.wav;21;;Bosque;Bioacustic;53.8167138840458;;;;;
TORRE03__0__20210217_231335.wav;231335.wav;23;;Bosque;Bioacustic;48.9985162418947;;;;;
TORRE03__0__20210218_012335.wav;012335.wav;01;;Bosque;Bioacustic;51.0658397185486;;;;;
TORRE03__0__20210218_033335.wav;033335.wav;03;;Bosque;Bioacustic;38.6640176191758;;;;;
TORRE03__0__20210218_054335.wav;054335.wav;05;;Bosque;Bioacustic;17.7026853766167;;;;;
TORRE03__0__20210218_075335.wav;075335.wav;07;;Bosque;Bioacustic;28.7535350885488;;;;;
TORRE03__0__20210218_100335.wav;100335.wav;10;;Bosque;Bioacustic;15.8743067784839;;;;;
TORRE03__0__20210218_121335.wav;121335.wav;12;;Bosque;Bioacustic;20.4319768412084;;;;;
TORRE03__0__20210218_142335.wav;142335.wav;14;;Bosque;Bioacustic;22.2554174903534;;;;;
TORRE03__0__20210218_163335.wav;163335.wav;16;;Bosque;Bioacustic;21.1055607801915;;;;;
TORRE03__0__20210218_184335.wav;184335.wav;18;;Bosque;Bioacustic;47.748669583184;;;;;
TORRE03__0__20210218_205335.wav;205335.wav;20;;Bosque;Bioacustic;46.7885728833653;;;;;
TORRE03__0__20210218_230335.wav;230335.wav;23;;Bosque;Bioacustic;44.6945073155487;;;;;
TORRE03__0__20210219_011335.wav;011335.wav;01;;Bosque;Bioacustic;49.3681258322006;;;;;
TORRE03__0__20210219_032335.wav;032335.wav;03;;Bosque;Bioacustic;35.1657871222417;;;;;
TORRE03__0__20210219_053335.wav;053335.wav;05;;Bosque;Bioacustic;16.1897210880138;;;;;
TORRE03__0__20210219_074335.wav;074335.wav;07;;Bosque;Bioacustic;38.2716342722112;;;;;
TORRE03__0__20210219_095335.wav;095335.wav;09;;Bosque;Bioacustic;36.7773915680595;;;;;
TORRE03__0__20210219_120335.wav;120335.wav;12;;Bosque;Bioacustic;29.1446059332648;;;;;
TORRE03__0__20210219_141335.wav;141335.wav;14;;Bosque;Bioacustic;15.518428216903;;;;;
TORRE03__0__20210219_162335.wav;162335.wav;16;;Bosque;Bioacustic;17.8319103663227;;;;;
TORRE03__0__20210219_183335.wav;183335.wav;18;;Bosque;Bioacustic;16.2150131318616;;;;;
TORRE03__0__20210219_204335.wav;204335.wav;20;;Bosque;Bioacustic;23.0892422317049;;;;;
TORRE03__0__20210219_225335.wav;225335.wav;22;;Bosque;Bioacustic;30.7138773507583;;;;;
TORRE03__0__20210220_010335.wav;010335.wav;01;;Bosque;Bioacustic;30.532908319073;;;;;
TORRE03__0__20210220_031335.wav;031335.wav;03;;Bosque;Bioacustic;40.4500688787715;;;;;
TORRE03__0__20210220_052335.wav;052335.wav;05;;Bosque;Bioacustic;39.6514352661529;;;;;
TORRE03__0__20210220_073335.wav;073335.wav;07;;Bosque;Bioacustic;20.168089005954;;;;;
TORRE03__0__20210220_094335.wav;094335.wav;09;;Bosque;Bioacustic;18.6404101354643;;;;;
TORRE03__0__20210220_115335.wav;115335.wav;11;;Bosque;Bioacustic;39.3666549923706;;;;;
TORRE03__0__20210220_140335.wav;140335.wav;14;;Bosque;Bioacustic;36.5756659388071;;;;;
TORRE03__0__20210220_161335.wav;161335.wav;16;;Bosque;Bioacustic;16.1786722052025;;;;;
TORRE03__0__20210220_182335.wav;182335.wav;18;;Bosque;Bioacustic;29.0272711134962;;;;;
TORRE03__0__20210220_203335.wav;203335.wav;20;;Bosque;Bioacustic;43.97000205363;;;;;
TORRE03__0__20210220_224335.wav;224335.wav;22;;Bosque;Bioacustic;49.5930165508629;;;;;
TORRE03__0__20210221_005335.wav;005335.wav;00;;Bosque;Bioacustic;42.6547549603818;;;;;
TORRE03__0__20210221_030335.wav;030335.wav;03;;Bosque;Bioacustic;46.1345351773207;;;;;
TORRE03__0__20210221_051335.wav;051335.wav;05;;Bosque;Bioacustic;35.9772196542225;;;;;
TORRE03__0__20210221_072335.wav;072335.wav;07;;Bosque;Bioacustic;31.8706525586586;;;;;
TORRE03__0__20210221_093335.wav;093335.wav;09;;Bosque;Bioacustic;45.8303593904709;;;;;
TORRE03__0__20210221_114335.wav;114335.wav;11;;Bosque;Bioacustic;39.3615345754273;;;;;
TORRE03__0__20210221_135335.wav;135335.wav;13;;Bosque;Bioacustic;23.6620216953625;;;;;
TORRE03__0__20210221_160335.wav;160335.wav;16;;Bosque;Bioacustic;24.0823294932069;;;;;
TORRE03__0__20210221_181335.wav;181335.wav;18;;Bosque;Bioacustic;40.3033187032481;;;;;
TORRE03__0__20210221_202335.wav;202335.wav;20;;Bosque;Bioacustic;48.4608300707186;;;;;
TORRE03__0__20210221_223335.wav;223335.wav;22;;Bosque;Bioacustic;54.403980917335;;;;;
TORRE03__0__20210222_004335.wav;004335.wav;00;;Bosque;Bioacustic;54.5800906019635;;;;;
TORRE03__0__20210222_025335.wav;025335.wav;02;;Bosque;Bioacustic;55.4569298661899;;;;;
TORRE03__0__20210222_050335.wav;050335.wav;05;;Bosque;Bioacustic;44.189546118646;;;;;
TORRE03__0__20210222_071335.wav;071335.wav;07;;Bosque;Bioacustic;22.4328425265277;;;;;
TORRE03__0__20210222_092335.wav;092335.wav;09;;Bosque;Bioacustic;51.8824873057228;;;;;
TORRE03__0__20210222_113335.wav;113335.wav;11;;Bosque;Bioacustic;52.1878565017866;;;;;
TORRE03__0__20210222_134335.wav;134335.wav;13;;Bosque;Bioacustic;39.1036544775028;;;;;
TORRE03__0__20210222_155335.wav;155335.wav;15;;Bosque;Bioacustic;15.0696801391131;;;;;
TORRE03__0__20210222_180335.wav;180335.wav;18;;Bosque;Bioacustic;30.8637250433358;;;;;
TORRE03__0__20210222_201335.wav;201335.wav;20;;Bosque;Bioacustic;56.1071299728657;;;;;
TORRE03__0__20210222_222335.wav;222335.wav;22;;Bosque;Bioacustic;53.0491995742045;;;;;
TORRE03__0__20210223_003335.wav;003335.wav;00;;Bosque;Bioacustic;55.9062303557215;;;;;
TORRE03__0__20210223_024335.wav;024335.wav;02;;Bosque;Bioacustic;49.4844156165444;;;;;
TORRE03__0__20210223_045335.wav;045335.wav;04;;Bosque;Bioacustic;48.9036207286815;;;;;
TORRE03__0__20210223_070335.wav;070335.wav;07;;Bosque;Bioacustic;33.8474291034625;;;;;
TORRE03__0__20210223_091335.wav;091335.wav;09;;Bosque;Bioacustic;48.5038386621324;;;;;
TORRE03__0__20210223_112335.wav;112335.wav;11;;Bosque;Bioacustic;26.5560317642326;;;;;
TORRE03__0__20210223_133335.wav;133335.wav;13;;Bosque;Bioacustic;43.5481133369698;;;;;
TORRE03__0__20210223_154335.wav;154335.wav;15;;Bosque;Bioacustic;26.9198903777288;;;;;
TORRE03__0__20210223_175335.wav;175335.wav;17;;Bosque;Bioacustic;37.2662494998222;;;;;
TORRE03__0__20210223_200335.wav;200335.wav;20;;Bosque;Bioacustic;50.1210967449772;;;;;
TORRE03__0__20210223_221335.wav;221335.wav;22;;Bosque;Bioacustic;44.092726255427;;;;;
UCR0001__0__20191204_124820.wav;124820.wav;12;;Urbano;Bioacustic;22.4667378353195;;;;;
UCR0001__0__20191204_145820.wav;145820.wav;14;;Urbano;Bioacustic;13.9648417579744;;;;;
UCR0001__0__20191204_170820.wav;170820.wav;17;;Urbano;Bioacustic;23.8231514300769;;;;;
UCR0001__0__20191204_191820.wav;191820.wav;19;;Urbano;Bioacustic;21.7265169314728;;;;;
UCR0001__0__20191204_212820.wav;212820.wav;21;;Urbano;Bioacustic;15.6112012800924;;;;;
UCR0001__0__20191204_233820.wav;233820.wav;23;;Urbano;Bioacustic;22.5881082481028;;;;;
UCR0001__0__20191205_014820.wav;014820.wav;01;;Urbano;Bioacustic;25.3113026078878;;;;;
UCR0001__0__20191205_035820.wav;035820.wav;03;;Urbano;Bioacustic;20.7874999212794;;;;;
UCR0001__0__20191205_060820.wav;060820.wav;06;;Urbano;Bioacustic;24.8953677257166;;;;;
UCR0001__0__20191205_081820.wav;081820.wav;08;;Urbano;Bioacustic;18.3566158836952;;;;;
UCR0001__0__20191205_102820.wav;102820.wav;10;;Urbano;Bioacustic;20.7698419325403;;;;;
UCR0001__0__20191205_123820.wav;123820.wav;12;;Urbano;Bioacustic;10.7804765590999;;;;;
UCR0001__0__20191205_144820.wav;144820.wav;14;;Urbano;Bioacustic;25.6859535893225;;;;;
UCR0001__0__20191205_165820.wav;165820.wav;16;;Urbano;Bioacustic;28.1024258680014;;;;;
UCR0001__0__20191205_190820.wav;190820.wav;19;;Urbano;Bioacustic;29.6461690170406;;;;;
UCR0001__0__20191205_211820.wav;211820.wav;21;;Urbano;Bioacustic;25.4362059623538;;;;;
UCR0001__0__20191205_232820.wav;232820.wav;23;;Urbano;Bioacustic;31.0368225470908;;;;;
UCR0001__0__20191206_013820.wav;013820.wav;01;;Urbano;Bioacustic;29.7770704731737;;;;;
UCR0001__0__20191206_034820.wav;034820.wav;03;;Urbano;Bioacustic;30.892126421702;;;;;
UCR0001__0__20191206_055820.wav;055820.wav;05;;Urbano;Bioacustic;27.9440429153034;;;;;
UCR0001__0__20191206_080820.wav;080820.wav;08;;Urbano;Bioacustic;28.1646602604988;;;;;
UCR0001__0__20191206_101820.wav;101820.wav;10;;Urbano;Bioacustic;23.8375527711415;;;;;
UCR0001__0__20191206_122820.wav;122820.wav;12;;Urbano;Bioacustic;19.0522173619805;;;;;
UCR0001__0__20191206_143820.wav;143820.wav;14;;Urbano;Bioacustic;22.3391697870377;;;;;
UCR0001__0__20191206_164820.wav;164820.wav;16;;Urbano;Bioacustic;21.3898574071376;;;;;
UCR0001__0__20191206_185820.wav;185820.wav;18;;Urbano;Bioacustic;18.0422682896878;;;;;
UCR0001__0__20191206_210820.wav;210820.wav;21;;Urbano;Bioacustic;21.8082619468268;;;;;
UCR0001__0__20191206_231820.wav;231820.wav;23;;Urbano;Bioacustic;19.8947460773782;;;;;
UCR0001__0__20191207_012820.wav;012820.wav;01;;Urbano;Bioacustic;17.1873714386246;;;;;
UCR0001__0__20191207_033820.wav;033820.wav;03;;Urbano;Bioacustic;17.615423319801;;;;;
UCR0001__0__20191207_054820.wav;054820.wav;05;;Urbano;Bioacustic;23.9981494494635;;;;;
UCR0001__0__20191207_075820.wav;075820.wav;07;;Urbano;Bioacustic;11.7842914450684;;;;;
UCR0001__0__20191207_100820.wav;100820.wav;10;;Urbano;Bioacustic;18.2652505649056;;;;;
UCR0001__0__20191207_121820.wav;121820.wav;12;;Urbano;Bioacustic;17.8271498540067;;;;;
UCR0001__0__20191207_142820.wav;142820.wav;14;;Urbano;Bioacustic;19.1757547205295;;;;;
UCR0001__0__20191207_163820.wav;163820.wav;16;;Urbano;Bioacustic;25.9550927661082;;;;;
UCR0001__0__20191207_184820.wav;184820.wav;18;;Urbano;Bioacustic;31.6130688921751;;;;;
UCR0001__0__20191207_205820.wav;205820.wav;20;;Urbano;Bioacustic;35.9011990111703;;;;;
UCR0001__0__20191207_230820.wav;230820.wav;23;;Urbano;Bioacustic;36.7145451124313;;;;;
UCR0001__0__20191208_011820.wav;011820.wav;01;;Urbano;Bioacustic;40.852306676854;;;;;
UCR0001__0__20191208_032820.wav;032820.wav;03;;Urbano;Bioacustic;41.1514019398274;;;;;
UCR0001__0__20191208_053820.wav;053820.wav;05;;Urbano;Bioacustic;30.720655440218;;;;;
UCR0001__0__20191208_074820.wav;074820.wav;07;;Urbano;Bioacustic;35.2374360745703;;;;;
UCR0001__0__20191208_095820.wav;095820.wav;09;;Urbano;Bioacustic;28.8095876871093;;;;;
UCR0001__0__20191208_120820.wav;120820.wav;12;;Urbano;Bioacustic;18.2060410602302;;;;;
UCR0001__0__20191208_141820.wav;141820.wav;14;;Urbano;Bioacustic;16.5982756089193;;;;;
UCR0001__0__20191208_162820.wav;162820.wav;16;;Urbano;Bioacustic;21.0607334519319;;;;;
UCR0001__0__20191208_183820.wav;183820.wav;18;;Urbano;Bioacustic;18.3049682423879;;;;;
UCR0001__0__20191208_204820.wav;204820.wav;20;;Urbano;Bioacustic;20.4061380040681;;;;;
UCR0001__0__20191208_225820.wav;225820.wav;22;;Urbano;Bioacustic;23.9362857395864;;;;;
UCR0001__0__20191209_010820.wav;010820.wav;01;;Urbano;Bioacustic;26.5454862943556;;;;;
UCR0001__0__20191209_031820.wav;031820.wav;03;;Urbano;Bioacustic;27.1451201557708;;;;;
UCR0001__0__20191209_052820.wav;052820.wav;05;;Urbano;Bioacustic;17.3543228522076;;;;;
UCR0001__0__20191209_073820.wav;073820.wav;07;;Urbano;Bioacustic;20.0299973962095;;;;;
UCR0001__0__20191209_094820.wav;094820.wav;09;;Urbano;Bioacustic;17.3961955790206;;;;;
UCR0001__0__20191209_115820.wav;115820.wav;11;;Urbano;Bioacustic;14.0245455591019;;;;;
UCR0001__0__20191209_140820.wav;140820.wav;14;;Urbano;Bioacustic;18.885027443504;;;;;
UCR0001__0__20191209_161820.wav;161820.wav;16;;Urbano;Bioacustic;20.7158341742901;;;;;
UCR0001__0__20191209_182820.wav;182820.wav;18;;Urbano;Bioacustic;14.3555951927396;;;;;
UCR0001__0__20191209_203820.wav;203820.wav;20;;Urbano;Bioacustic;19.099103652015;;;;;
UCR0001__0__20191209_224820.wav;224820.wav;22;;Urbano;Bioacustic;18.879321076236;;;;;
UCR0001__0__20191210_005820.wav;005820.wav;00;;Urbano;Bioacustic;22.5966569319978;;;;;
UCR0001__0__20191210_030820.wav;030820.wav;03;;Urbano;Bioacustic;19.8865816752841;;;;;
UCR0001__0__20191210_051820.wav;051820.wav;05;;Urbano;Bioacustic;12.011986424027;;;;;
UCR0001__0__20191210_072820.wav;072820.wav;07;;Urbano;Bioacustic;14.3272744796403;;;;;
UCR0001__0__20191210_093820.wav;093820.wav;09;;Urbano;Bioacustic;18.5331693855537;;;;;
UCR0001__0__20191210_114820.wav;114820.wav;11;;Urbano;Bioacustic;20.4754553212485;;;;;
UCR0001__0__20191210_135820.wav;135820.wav;13;;Urbano;Bioacustic;20.6018088514649;;;;;
UCR0001__0__20191210_160820.wav;160820.wav;16;;Urbano;Bioacustic;17.456597108069;;;;;
UCR0001__0__20191210_181820.wav;181820.wav;18;;Urbano;Bioacustic;16.7423909477622;;;;;
UCR0001__0__20191210_202820.wav;202820.wav;20;;Urbano;Bioacustic;19.4115110519346;;;;;
UCR0001__0__20191210_223820.wav;223820.wav;22;;Urbano;Bioacustic;18.239445324866;;;;;
UCR0001__0__20191211_004820.wav;004820.wav;00;;Urbano;Bioacustic;22.7827489483722;;;;;
UCR0001__0__20191211_025820.wav;025820.wav;02;;Urbano;Bioacustic;22.5981378975451;;;;;
UCR0001__0__20191211_050820.wav;050820.wav;05;;Urbano;Bioacustic;26.3820269669192;;;;;
UCR0001__0__20191211_071820.wav;071820.wav;07;;Urbano;Bioacustic;12.0677420567377;;;;;
UCR0001__0__20191211_092820.wav;092820.wav;09;;Urbano;Bioacustic;12.9933510876412;;;;;
UCR0001__0__20191211_113820.wav;113820.wav;11;;Urbano;Bioacustic;14.3794738041691;;;;;
UCR0001__0__20191211_134820.wav;134820.wav;13;;Urbano;Bioacustic;18.4616633390468;;;;;
UCR03__0__20210701_184032.wav;184032.wav;18;;Urbano;Bioacustic;17.436571924495;;;;;
UCR03__0__20210701_205032.wav;205032.wav;20;;Urbano;Bioacustic;17.4273693949405;;;;;
UCR03__0__20210701_230032.wav;230032.wav;23;;Urbano;Bioacustic;22.7771376745151;;;;;
UCR03__0__20210702_011032.wav;011032.wav;01;;Urbano;Bioacustic;18.4120220745381;;;;;
UCR03__0__20210702_032032.wav;032032.wav;03;;Urbano;Bioacustic;19.2452452789591;;;;;
UCR03__0__20210702_053032.wav;053032.wav;05;;Urbano;Bioacustic;28.3415986984682;;;;;
UCR03__0__20210702_074032.wav;074032.wav;07;;Urbano;Bioacustic;18.3414449812836;;;;;
UCR03__0__20210702_095032.wav;095032.wav;09;;Urbano;Bioacustic;19.9123003883291;;;;;
UCR03__0__20210702_120032.wav;120032.wav;12;;Urbano;Bioacustic;18.2432048439937;;;;;
UCR03__0__20210702_141032.wav;141032.wav;14;;Urbano;Bioacustic;19.3282244970733;;;;;
UCR03__0__20210702_162032.wav;162032.wav;16;;Urbano;Bioacustic;25.4271759811024;;;;;
UCR03__0__20210702_183032.wav;183032.wav;18;;Urbano;Bioacustic;29.429292470156;;;;;
UCR03__0__20210702_204032.wav;204032.wav;20;;Urbano;Bioacustic;27.4025267930832;;;;;
UCR03__0__20210702_225032.wav;225032.wav;22;;Urbano;Bioacustic;25.8933389487746;;;;;
UCR03__0__20210703_010032.wav;010032.wav;01;;Urbano;Bioacustic;27.4533330367301;;;;;
UCR03__0__20210703_031032.wav;031032.wav;03;;Urbano;Bioacustic;22.6987981497652;;;;;
UCR03__0__20210703_052032.wav;052032.wav;05;;Urbano;Bioacustic;36.413844509133;;;;;
UCR03__0__20210703_073032.wav;073032.wav;07;;Urbano;Bioacustic;27.4199034858665;;;;;
UCR03__0__20210703_094032.wav;094032.wav;09;;Urbano;Bioacustic;24.4951345183807;;;;;
UCR03__0__20210703_115032.wav;115032.wav;11;;Urbano;Bioacustic;24.7740716892401;;;;;
UCR03__0__20210703_140032.wav;140032.wav;14;;Urbano;Bioacustic;22.7050763495546;;;;;
UCR03__0__20210703_161032.wav;161032.wav;16;;Urbano;Bioacustic;16.3088569456553;;;;;
UCR03__0__20210703_182032.wav;182032.wav;18;;Urbano;Bioacustic;17.7462019174849;;;;;
UCR03__0__20210703_203032.wav;203032.wav;20;;Urbano;Bioacustic;18.5716791141145;;;;;
UCR03__0__20210703_224032.wav;224032.wav;22;;Urbano;Bioacustic;14.7325985596589;;;;;
